 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.875         0.889         0.906         0.008         0.009     0.5     2  10    coarse levels           
       3.936         4.299         4.452         0.140         0.033     2.5    10   4    refine                  
      34.042        34.042        34.042         0.000         0.000    20.1    12   7    load balance            
       7.332         7.757         8.050         0.263         0.034     4.6    10   1    particles               
       5.035         5.037         5.051         0.004         0.001     3.0     6   1    io                      
     105.339       105.345       105.350         0.003         0.000    62.1    10   8    poisson                 
       4.416         4.627         4.900         0.120         0.026     2.7     3   5    rho                     
       1.288         1.484         1.680         0.124         0.083     0.9     6  10    courant                 
       5.723         6.036         6.633         0.264         0.044     3.6     4  10    flag                    
     169.524     100.0    TOTAL
