 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.005         0.005         0.005         0.000         0.021    11.7     1   2    coarse levels           
       0.016         0.018         0.020         0.002         0.090    39.7     3   4    refine                  
       0.000         0.000         0.000         0.000         0.275     0.4     2   4    load balance            
       0.000         0.001         0.001         0.000         0.177     1.2     2   1    particles               
       0.003         0.003         0.003         0.000         0.005     7.1     3   1    io                      
       0.004         0.004         0.004         0.000         0.031     8.9     4   2    courant                 
       0.000         0.002         0.007         0.003         1.401     4.3     2   1    hydro - set unew        
       0.001         0.003         0.006         0.002         0.636     7.0     1   3    hydro - godunov         
       0.003         0.003         0.005         0.001         0.311     6.9     4   2    hydro - rev ghostzones  
       0.000         0.000         0.000         0.000         0.149     0.8     2   4    hydro - set uold        
       0.000         0.000         0.000         0.000         0.180     0.6     2   4    poisson                 
       0.000         0.000         0.001         0.000         0.184     0.9     2   3    hydro upload fine       
       0.000         0.000         0.000         0.000         0.198     0.6     2   4    cooling                 
       0.002         0.002         0.002         0.000         0.102     4.0     1   3    hydro - ghostzones      
       0.002         0.003         0.004         0.001         0.287     6.0     1   3    flag                    
       0.045     100.0    TOTAL
