 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       3.784         3.788         3.792         0.002         0.001     0.4     6   1    coarse levels           
      20.361        43.454       129.207        39.724         0.914     4.2     4   7    refine                  
      31.535        31.614        31.898         0.132         0.004     3.1     3   1    load balance            
      50.950        51.110        51.312         0.114         0.002     5.0     6   8    sinks                   
       1.346         1.986         4.225         1.036         0.522     0.2     5   1    particles               
     141.227       142.601       143.068         0.636         0.004    13.8     1   4    poisson                 
       9.594        11.318        12.485         0.955         0.084     1.1     7   3    rho                     
       3.868         4.274         5.665         0.632         0.148     0.4     4   1    courant                 
       3.385         4.204         4.604         0.378         0.090     0.4     1  12    hydro - set unew        
     369.667       385.829       401.223         9.683         0.025    37.4     3  12    hydro - godunov         
     229.466       308.324       346.101        38.177         0.124    29.9     7   3    hydro - rev ghostzones  
       3.220         3.462         3.700         0.170         0.049     0.3     3   8    hydro - set uold        
       1.131         1.305         1.470         0.123         0.094     0.1    11  12    hydro upload fine       
       1.193         1.224         1.264         0.019         0.015     0.1     1  12    cooling                 
      14.164        18.507        19.806         1.932         0.104     1.8     7   3    hydro - ghostzones      
      18.140        18.208        18.270         0.055         0.003     1.8     8   6    flag                    
    1031.631     100.0    TOTAL
